RELEASE_NAME	ARCHITECTURE_NAME	EXTERNAL_TAG
CMSSW_4_2_X_2011-03-07-0200	slc5_amd64_gcc451	V00-16-05
CMSSW_3_11_X_2011-03-09-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-12-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-12-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-12-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-17-1500	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-17-1500	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-17-1500	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-20-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-20-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-20-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-03-13-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-13-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-13-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-13-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-14-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-14-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-14-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-14-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-18-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-18-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-18-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-18-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-18-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-18-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-03-22-0300	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-22-0300	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-22-0300	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-22-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_1_3_patch1	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-28-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-28-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-28-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-30-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-30-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-30-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-03-31-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_3_9_X_2011-03-31-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-03-31-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-31-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-03-31-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-04-02-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-04-03-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-03-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-03-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-11-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_1_X_2011-03-12-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-12-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_1_X_2011-03-15-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-19-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-23-1400	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-24-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-24-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-24-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-03-25-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_3_9_X_2011-03-25-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-03-26-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_3_X_2011-03-26-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-03-26-1400	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-03-26-1400	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-03-29-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_3_9_X_2011-04-02-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-04-04-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-04-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-04-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_1_X_2011-04-05-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-05-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-05-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-05-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-04-07-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-07-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-07-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-07-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_3_9_X_2011-04-15-0200	slc5_ia32_gcc434	V00-11-04
CMSSW_4_2_X_2011-04-15-1600	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-04-15-1600	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_2_X_2011-04-15-1600	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_3_X_2011-04-17-0200	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_3_X_2011-04-17-0200	slc5_amd64_gcc434	V00-16-05-01
CMSSW_4_3_X_2011-04-17-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-04-17-0200	slc5_amd64_gcc451	V00-16-05-01
CMSSW_4_2_X_2011-03-11-1400	osx106_amd64_gcc421	V00-16-05-01
CMSSW_4_2_X_2011-03-11-1400	slc5_amd64_gcc434	V00-16-05-01
